Date,Centre_Name,Commodity_Name,Price
09-01-09,SRINAGAR,Potato,NA
09-01-09,JAMMU,Potato,NA
09-01-09,AMRITSAR,Potato,NA
09-01-09,LUDHIANA,Potato,NA
09-01-09,LUCKNOW,Potato,NA
09-01-09,DEHRADUN,Potato,NA
09-01-09,RAIPUR,Potato,NA
09-01-09,AHMEDABAD,Potato,NA
09-01-09,BHOPAL,Potato,NA
09-01-09,MUMBAI,Potato,NA
09-01-09,JAIPUR,Potato,NA
09-01-09,PATNA,Potato,NA
09-01-09,RANCHI,Potato,NA
09-01-09,BHUBANESHWAR,Potato,450
09-01-09,KOLKATA,Potato,NA
09-01-09,GUWAHATI,Potato,NA
09-01-09,SHILLONG,Potato,NA
09-01-09,AIZWAL,Potato,NA
09-01-09,KOHIMA,Potato,NA
09-01-09,AGARTALA,Potato,NA
09-01-09,BENGALURU,Potato,1200
09-01-09,T.PURAM,Potato,NA
09-01-09,CHENNAI,Potato,800
09-01-09,HYDERABAD,Potato,NA
12-01-09,CHANDIGARH,Potato,NA
12-01-09,DELHI,Potato,312
12-01-09,SHIMLA,Potato,NA
12-01-09,SRINAGAR,Potato,NA
12-01-09,JAMMU,Potato,NA
12-01-09,AMRITSAR,Potato,NA
12-01-09,LUDHIANA,Potato,NA
12-01-09,LUCKNOW,Potato,NA
12-01-09,DEHRADUN,Potato,NA
12-01-09,RAIPUR,Potato,NA
12-01-09,AHMEDABAD,Potato,NA
12-01-09,BHOPAL,Potato,NA
12-01-09,MUMBAI,Potato,NA
12-01-09,JAIPUR,Potato,NA
12-01-09,PATNA,Potato,NA
12-01-09,RANCHI,Potato,NA
12-01-09,BHUBANESHWAR,Potato,450
12-01-09,KOLKATA,Potato,NA
12-01-09,GUWAHATI,Potato,NA
12-01-09,SHILLONG,Potato,NA
12-01-09,AIZWAL,Potato,NA
12-01-09,KOHIMA,Potato,NA
12-01-09,AGARTALA,Potato,NA
12-01-09,BENGALURU,Potato,1200
12-01-09,T.PURAM,Potato,NA
12-01-09,CHENNAI,Potato,800
12-01-09,HYDERABAD,Potato,NA
13-01-09,CHANDIGARH,Potato,NA
13-01-09,DELHI,Potato,225
13-01-09,SHIMLA,Potato,NA
13-01-09,SRINAGAR,Potato,NA
13-01-09,JAMMU,Potato,NA
13-01-09,AMRITSAR,Potato,NA
13-01-09,LUDHIANA,Potato,NA
13-01-09,LUCKNOW,Potato,NA
13-01-09,DEHRADUN,Potato,NA
13-01-09,RAIPUR,Potato,NA
13-01-09,AHMEDABAD,Potato,NA
13-01-09,BHOPAL,Potato,NA
13-01-09,MUMBAI,Potato,NA
13-01-09,JAIPUR,Potato,NA
13-01-09,PATNA,Potato,NA
13-01-09,RANCHI,Potato,NA
13-01-09,BHUBANESHWAR,Potato,NA
13-01-09,KOLKATA,Potato,NA
13-01-09,GUWAHATI,Potato,NA
13-01-09,SHILLONG,Potato,NA
13-01-09,AIZWAL,Potato,NA
13-01-09,KOHIMA,Potato,NA
13-01-09,AGARTALA,Potato,NA
13-01-09,BENGALURU,Potato,NA
13-01-09,T.PURAM,Potato,NA
13-01-09,CHENNAI,Potato,NA
13-01-09,HYDERABAD,Potato,NA
14-01-09,CHANDIGARH,Potato,NA
14-01-09,DELHI,Potato,225
14-01-09,SHIMLA,Potato,NA
14-01-09,SRINAGAR,Potato,NA
14-01-09,JAMMU,Potato,NA
14-01-09,AMRITSAR,Potato,NA
14-01-09,LUDHIANA,Potato,NA
14-01-09,LUCKNOW,Potato,NA
14-01-09,DEHRADUN,Potato,NA
14-01-09,RAIPUR,Potato,NA
14-01-09,AHMEDABAD,Potato,NA
14-01-09,BHOPAL,Potato,NA
14-01-09,MUMBAI,Potato,NA
14-01-09,JAIPUR,Potato,NA
14-01-09,PATNA,Potato,NA
14-01-09,RANCHI,Potato,NA
14-01-09,BHUBANESHWAR,Potato,450
14-01-09,KOLKATA,Potato,NA
14-01-09,GUWAHATI,Potato,NA
14-01-09,SHILLONG,Potato,NA
14-01-09,AIZWAL,Potato,NA
14-01-09,KOHIMA,Potato,NA
14-01-09,AGARTALA,Potato,NA
14-01-09,BENGALURU,Potato,NA
14-01-09,T.PURAM,Potato,NA
14-01-09,CHENNAI,Potato,NA
14-01-09,HYDERABAD,Potato,NA
15-01-09,CHANDIGARH,Potato,NA
15-01-09,DELHI,Potato,225
15-01-09,SHIMLA,Potato,NA
15-01-09,SRINAGAR,Potato,NA
15-01-09,JAMMU,Potato,NA
15-01-09,AMRITSAR,Potato,NA
15-01-09,LUDHIANA,Potato,NA
15-01-09,LUCKNOW,Potato,NA
15-01-09,DEHRADUN,Potato,NA
15-01-09,RAIPUR,Potato,NA
15-01-09,AHMEDABAD,Potato,NA
15-01-09,BHOPAL,Potato,NA
15-01-09,MUMBAI,Potato,NA
15-01-09,JAIPUR,Potato,170
15-01-09,PATNA,Potato,NA
15-01-09,RANCHI,Potato,NA
15-01-09,BHUBANESHWAR,Potato,NA
15-01-09,KOLKATA,Potato,NA
15-01-09,GUWAHATI,Potato,NA
15-01-09,SHILLONG,Potato,NA
15-01-09,AIZWAL,Potato,NA
15-01-09,KOHIMA,Potato,NA
15-01-09,AGARTALA,Potato,NA
15-01-09,BENGALURU,Potato,1000
15-01-09,T.PURAM,Potato,NA
15-01-09,CHENNAI,Potato,NA
15-01-09,HYDERABAD,Potato,NA
16-01-09,CHANDIGARH,Potato,NA
16-01-09,DELHI,Potato,225
16-01-09,SHIMLA,Potato,NA
16-01-09,SRINAGAR,Potato,NA
16-01-09,JAMMU,Potato,NA
16-01-09,AMRITSAR,Potato,NA
16-01-09,LUDHIANA,Potato,NA
16-01-09,LUCKNOW,Potato,NA
16-01-09,DEHRADUN,Potato,NA
16-01-09,RAIPUR,Potato,NA
16-01-09,AHMEDABAD,Potato,NA
16-01-09,BHOPAL,Potato,NA
16-01-09,MUMBAI,Potato,NA
